,Time,Tcpu,Tw,Fan,Q,T_air
75,75.0,344.4339521985606,297.3445332960789,0.030053616000000002,84.0,293.15
76,76.0,344.48758053826,297.34994525010353,0.030053616000000002,84.0,293.15
77,77.0,344.53859786805737,297.3550938751683,0.030053616000000002,84.0,293.15
78,78.0,344.5871312542752,297.3599919707616,0.030053616000000002,84.0,293.15
79,79.0,344.6333015761091,297.3646517146229,0.030053616000000002,84.0,293.15
80,80.0,344.67722385409724,297.36908469561735,0.030053616000000002,84.0,293.15
81,81.0,344.7190075057558,297.3733019392941,0.030053616000000002,84.0,293.15
82,82.0,344.75875661673456,297.3773139350293,0.030053616000000002,84.0,293.15
83,83.0,344.79657022493643,297.3811306644997,0.030053616000000002,84.0,293.15
84,84.0,344.8325425455929,297.384761624221,0.030053616000000002,84.0,293.15
85,85.0,344.86676320654453,297.3882158491301,0.030053616000000002,84.0,293.15
86,86.0,344.8993174827519,297.3915019361082,0.030053616000000002,84.0,293.15
87,87.0,344.9302864920974,297.3946280636103,0.030053616000000002,84.0,293.15
88,88.0,344.9597474173863,297.397602013952,0.030053616000000002,84.0,293.15
89,89.0,344.98777367503567,297.4004311902295,0.030053616000000002,84.0,293.15
90,90.0,345.01443511359287,297.4031226362585,0.030053616000000002,84.0,293.15
91,91.0,345.0397981836498,297.40568305363627,0.030053616000000002,84.0,293.15
92,92.0,345.06392609065244,297.40811881708737,0.030053616000000002,84.0,293.15
93,93.0,345.08687898658485,297.4104359937385,0.030053616000000002,84.0,293.15
94,94.0,345.10871407816217,297.4126403539771,0.030053616000000002,84.0,293.15
95,95.0,345.1294857921787,297.41473738808054,0.030053616000000002,84.0,293.15
96,96.0,345.1492459115513,297.4167323198976,0.030053616000000002,84.0,293.15
97,97.0,345.16804369861416,297.41863011924545,0.030053616000000002,84.0,293.15
98,98.0,345.1859259969272,297.42043551214516,0.030053616000000002,84.0,293.15
99,99.0,345.2029373998794,297.42215299780105,0.030053616000000002,84.0,293.15
100,100.0,345.21912031443634,297.4237868550003,0.030053616000000002,84.0,293.15
101,101.0,345.23451508248206,297.4253411543309,0.030053616000000002,84.0,293.15
102,102.0,345.24916008509,297.4268197686812,0.030053616000000002,84.0,293.15
